gene_id	gene_short_name	locus	MES095_R1	MES095_R2	MES105_R1	MES105_R2	MES115_R1	MES115_R2	MES125_R1	MES125_R2	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000050966	Lin28a	chr4:134003329-134018841	7060.66470386673	8793.15775643182	210.51483791496	174.567444516911	3.32654175065114	6.38694254608867	0.812961727867182	1.15400376964116	2031.32314906558	5.35752753701599	0.275697067402296	1274.16157252424	5.94597063004435e-276	8.72154972014905e-272
ENSMUSG00000027210	Meis2	chr2:115863063-116065839	4582.96490327636	5371.42875991257	82.8902174290154	119.023257625167	21.6225213792324	25.5477701843547	12.1944259180077	16.1560527749762	1278.97848856246	5.64270327886667	0.288595087737126	969.7720231031	6.49236397071217e-210	4.76149973612031e-206
ENSMUSG00000022485	Hoxc5	chr15:103013814-103017429	1263.1590616116	1203.63514804997	11.8414596327165	14.5472870430759	7.48471893896506	3.8321655276532	0	1.15400376964116	313.206730571702	6.5794026575926	0.400200317679767	756.518043496886	1.16443906713668e-163	5.69333074558696e-160
ENSMUSG00000024247	Pkdcc	chr17:83215291-83225070	9813.56255709579	8881.83421625869	164.464717121062	193.082173480826	14.9694378779301	30.6573242212256	25.2018135638826	6.92402261784694	2391.33703277966	5.71135169308932	0.383729319161594	601.646597600359	4.43028993695478e-130	1.62458731988132e-126
ENSMUSG00000000690	Hoxb6	chr11:96292475-96301569	812.751582126273	844.199897551744	9.21002415877948	5.28992256111851	4.15817718831392	1.27738850921773	0.812961727867182	2.30800753928231	210.000995170325	6.74591609014547	0.481675167733227	573.040501476333	7.04084485946569e-124	2.06550224797286e-120
ENSMUSG00000038700	Hoxb5	chr11:96303511-96306120	762.298605809179	799.270491239466	10.525741895748	5.28992256111851	8.31635437662784	8.94171956452413	4.87777036720309	3.46201130892347	200.372827140349	6.51626968064104	0.461189380923226	532.455634572219	4.41187457709067e-115	1.07855627161277e-111
ENSMUSG00000038203	Hoxa13	chr6:52257693-52260880	11.0079221055477	5.91176398845759	3142.59181474926	3917.18765650826	3505.34336974864	4352.06265090482	4540.39125013821	3939.76886955491	2926.78316221226	-8.66108881832738	0.432323537917869	525.950392721175	1.13385935385827e-113	2.37592128605616e-110
ENSMUSG00000020160	Meis1	chr11:18879816-19018985	1375.99026319346	1884.67035952028	55.9180038211612	72.7364352153796	22.4541568168952	14.0512736013951	6.50369382293745	13.8480452356939	430.771528903401	4.67758123278367	0.357398213300269	480.611446623106	7.59081379509956e-104	1.3917757093315e-100
ENSMUSG00000075394	Hoxc4	chr15:103018933-103036852	694.416419491635	803.999902430232	11.8414596327165	18.5147289639148	3.32654175065114	1.27738850921773	3.25184691146873	0	192.07853596123	5.68301261541268	0.437160625976978	473.875545299975	2.18735152859774e-102	3.56489691349685e-99
ENSMUSG00000031734	Irx3	chr8:91798524-91802067	1784.20070794086	1380.98806770369	13.8150362381692	3.96744192083889	4.98981262597671	3.8321655276532	19.5110814688124	9.23203015712926	402.567042947891	7.32841303560994	0.50055971557318	466.574264360528	8.35630124158472e-101	1.22570226611565e-97
ENSMUSG00000001823	Hoxd12	chr2:74675012-74677705	8.25594157916079	9.45882238153215	6041.11798929086	6592.56599179395	10992.5572150267	8557.22562324959	4800.53900305571	7595.6528117781	5574.67167476945	-9.48717360563151	0.459641660347029	456.633798086522	1.19097510047833e-98	1.58811116125601e-95
ENSMUSG00000048534	Jaml	chr9:45079182-45108534	832.015445810981	744.882262545656	38.1558143720864	30.4170547264315	9.97962525195341	3.8321655276532	5.69073209507027	2.30800753928231	208.410138483639	4.50424236910789	0.370373640934485	448.324339176367	7.52156827376409e-97	9.19386361996431e-94
