gene_id	gene_short_name	locus	ECT095_R1	ECT095_R2	ECT105_R1	ECT105_R2	ECT115_R1	ECT115_R2	ECT125_R1	ECT125_R2	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000001655	Hoxc13	chr15:102921102-102928814	14.5644983076385	28.3082474954549	536.623701780975	509.119968175182	849.986854493717	972.325637855676	1901.00967046677	1607.23839558427	802.39712176996	-4.52209051731681	0.331809898205913	386.43839329732	1.91676469668629e-83	2.73273142806565e-79
ENSMUSG00000021186	Fbln5	chr12:101746564-101819055	21.0376086665889	3.65267709618773	443.824114254942	475.383102814176	1895.72825729508	1683.06627616311	1924.7722913476	1722.18645805327	1021.20634821137	-5.45614668411059	0.441157648076521	374.805424066861	6.3391843714009e-81	4.51888757915313e-77
ENSMUSG00000071192	Wfikkn1	chr17:25877629-25880305	556.687490869738	536.943533139596	14.7941371418314	13.2902802937297	9.65894152833769	8.11116277668968	2.09670184242658	8.13791592700897	143.71502043992	5.28917707559647	0.45954267304891	371.299131086916	3.64237886837598e-80	1.73097985088121e-76
ENSMUSG00000062393	Dgkk	chrX:6779305-6948363	958.020333124666	1070.23438918301	341.61007582047	357.815238677337	143.59626405462	123.695232344518	23.7626208808346	32.5516637080359	381.410727224186	1.53650679630556	0.239162391671856	365.353851558351	7.06154811932611e-79	2.51691228843081e-75
ENSMUSG00000056632	Dsg3	chr18:20510303-20541310	0	0.913169274046933	59.1765485673256	59.2950966951015	278.821445451348	226.098662400225	597.560025091576	657.136711105974	234.8752073232	-6.63703025654204	1.37802840511207	363.862709975572	1.48529926124465e-78	4.23518231351298e-75
ENSMUSG00000045545	Krt14	chr11:100203161-100207548	207.139531486414	226.465979963639	2146.4948071239	2224.58845531967	9635.76006866968	7744.13266104447	24944.461819349	14270.8528175011	7674.98701755724	-3.33133905779356	0.302110672574548	362.807336733161	2.51395819814495e-78	5.97358367182542e-75
ENSMUSG00000050328	Hoxc12	chr15:102936756-102938609	0	0	36.3128820754043	53.1611211749186	349.009753890602	288.96017391957	947.709232776815	712.067643613285	298.402600931324	-7.65789025032921	1.48410098049929	361.798384364172	4.15764943080602e-78	8.46794399071448e-75
ENSMUSG00000020159	Gabrp	chr11:33550780-33578959	4.85483276921283	0	408.856153737886	680.871282740304	1651.67900134574	2589.48871645818	4361.83873286143	4149.3198832837	1730.86357539956	-8.24210156233447	0.893802508542599	361.075932215616	5.96066478963997e-78	1.06226497382371e-74
ENSMUSG00000035557	Krt17	chr11:100256216-100261029	77.6773243074053	53.876987168769	551.417838922807	673.714977966757	3029.68799272192	2995.04685529266	8144.28885659899	4850.19789249735	2546.98859068458	-3.2428833689003	0.334272453019413	350.609963563773	1.10052364178724e-75	1.74335172899563e-72
ENSMUSG00000029026	Trp73	chr4:154056252-154140208	40.4569397434403	46.5716329763936	301.262429070021	331.234678089877	549.915737680026	596.170464086692	1901.00967046677	1408.87669486343	646.937280872081	-2.84820462865328	0.299234107462721	325.078258553519	3.71036764364539e-70	5.28987114954523e-67
ENSMUSG00000001656	Hoxc11	chr15:102954426-102957708	0	0	40.3476467504493	43.9601578946442	237.609961597107	265.640580936587	808.628010562518	524.895577292078	240.135241879173	-7.56157426785213	1.48833865879822	307.425719524828	2.45792835819212e-66	3.18569860024955e-63
ENSMUSG00000046352	Gjb2	chr14:57098599-57104702	63.1128259997668	32.8740938656896	716.843190599649	709.496501834491	1000.02241290056	1341.38354419506	5173.26234588052	3664.09664613579	1587.63644517644	-3.9418490502654	0.350776676307116	297.772551030849	3.01887899244656e-64	3.58667981627588e-61
ENSMUSG00000009097	Tbx1	chr16:18580978-18590671	3.23655517947522	4.56584637023466	73.970685709157	97.1212790695628	382.494084522172	417.724882999519	937.924624178824	646.964316197213	320.50028427827	-4.40221969573075	0.637324689468576	294.120241741351	1.8632565086938e-63	2.04341908034212e-60
ENSMUSG00000024659	Anxa1	chr19:20373427-20390944	0	2.7395078221408	349.67960517056	426.311298652713	552.491455420916	744.199184761278	1434.84296083392	976.549911241076	560.851740487826	-7.81118041004023	0.89661615814914	290.40392069728	1.18718662083884e-62	1.20897997523567e-59
ENSMUSG00000092035	Peg10	chr6:4747305-4760517	19477.5890700819	36464.6754512421	2835.09464499824	3340.97199999296	1260.16990473046	1332.25848607128	369.718424881221	642.895358233709	8215.42166752898	3.17916888256537	0.356446830722517	287.248929810335	5.71821906828862e-62	5.43497661710606e-59
ENSMUSG00000051855	Mest	chr6:30723546-30748465	36184.686906533	32736.2053053085	14098.8126961653	12060.418201933	10360.180683295	9434.29620463719	4800.04941792859	4566.38807454291	15530.1296862929	1.39766517097562	0.175097349702339	277.797636501167	6.34408537550319e-60	5.65297657490932e-57
ENSMUSG00000068859	Sp9	chr2:73271924-73277471	4.85483276921283	8.21852346642239	224.601900244168	182.996936352124	477.151711499882	558.656336244502	924.645512510123	645.947076706337	378.384103724096	-4.87765990721992	0.518229957575247	253.274541439254	1.28106931936946e-54	1.07436501683826e-51
ENSMUSG00000005917	Otx1	chr11:21994763-22002897	6.47311035895044	3.65267709618773	30.9331958420111	64.4067429619206	559.574679208363	281.862906489966	1771.01415623632	1501.44548853315	527.420369590859	-3.33854726027161	0.677366857948719	251.073359716797	3.83418067190437e-54	3.03688410218559e-51
ENSMUSG00000022484	Hoxc10	chr15:102966795-102971893	8.09138794868806	6.39218491832853	283.778448811493	270.917252141412	537.681078410798	518.100522361053	752.017060817001	518.792140346822	361.971259469449	-5.29859096789686	0.503655766015087	246.567232039177	3.61629929164115e-53	2.71355678952252e-50
