gene_id	gene_short_name	locus	MES115_R1	MES115_R2	MES125_R1	MES125_R2	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000041324	Inhba	chr13:16011850-16031621	58.045380512587	33.3213204479759	563.819992552516	529.995505167266	296.295549670086	3.56083587431827	0.407380152604371	8.74081825428641	2.31428064567064e-18	3.26614427523497e-14
ENSMUSG00000032332	Col12a1	chr9:79598990-79718720	116.919980746782	34.602909695975	2803.96920025058	731.624229959161	921.779080163124	4.53064076413947	0.56767261758102	7.9810803336711	1.45058015169814e-15	1.02360188404579e-11
ENSMUSG00000028364	Tnc	chr4:63959784-64047015	155.064087940768	98.6823720959286	4677.79468397384	796.145421892567	1431.92164147578	4.42793509058512	0.563956339537282	7.85155654818629	4.1090515989504e-15	1.9330348405329e-11
ENSMUSG00000074971	Fibin	chr2:110360916-110363183	24.0473719266432	16.6606602239879	507.278722112927	168.215964683524	179.050679736771	4.03952277281442	0.568022503096567	7.11155412117129	1.14743448016153e-12	4.04843570462991e-09
ENSMUSG00000016995	Matn4	chr2:164389392-164405160	1.65843944321677	1.28158924799907	269.168301529308	104.846936891785	94.2388167780774	6.96272149036514	1.01236246406203	6.87769621804006	6.08282083434641e-12	1.43078084058551e-08
ENSMUSG00000028626	Col9a2	chr4:121039384-121055322	81.2635327176218	28.1949634559796	616.379483383683	449.344015250508	293.795498701948	3.2599482867089	0.473924683321472	6.87862101602675	6.04346994895954e-12	1.43078084058551e-08
ENSMUSG00000027004	Frzb	chr2:80411969-80447625	1253.78021907188	2642.63702937409	86.8027954635935	301.867005117008	1071.27176225664	-3.33099949309601	0.501459587327611	-6.64260805311878	3.08180577228599e-11	6.21336069489603e-08
ENSMUSG00000053007	Creb5	chr6:53287269-53700376	304.323637830278	98.6823720959286	1185.77396738799	1765.11546503533	838.473860587381	2.86396810992649	0.457707760801659	6.25719805342682	3.91955529071117e-10	6.91458547722584e-07
ENSMUSG00000022894	Adamts5	chr16:85856172-85901828	197.354293742796	80.7401226239416	814.672107883084	887.166389084337	494.98322833354	2.60228144632575	0.421013720460043	6.18098964442827	6.37009955873264e-10	9.98902389693264e-07
ENSMUSG00000002633	Shh	chr5:28456814-28467256	34.8272283075522	303.73665177578	0.796355921684344	3.45649242500391	85.7041821075052	-6.41814377645584	1.04931671049087	-6.11649820524961	9.5653963715561e-10	1.34996438991771e-06
ENSMUSG00000029449	Rhof	chr5:123103043-123132692	205.64649095888	253.754671103816	18.3161861987399	40.3257449583789	129.510773304954	-2.99253573845913	0.509731587755331	-5.87080693122659	4.33679080988018e-09	5.56410260907627e-06
ENSMUSG00000048387	Osr1	chr12:9570115-9581500	5.8045380512587	3.84476774399722	246.870335722147	46.0865656667188	75.6515517960304	4.89930037988793	0.841802167603481	5.82001397529744	5.88427071925833e-09	6.38805482006868e-06
ENSMUSG00000052217	Hbb-bh1	chr7:103841636-103843164	5490.26377676912	6782.17030041109	1005.79752908733	1909.13598274383	3796.84189725284	-2.07468653444025	0.356014221227539	-5.82753836991884	5.62509195389007e-09	6.38805482006868e-06
ENSMUSG00000001911	Nfix	chr8:84704711-84800344	391.391708599158	146.101174271894	3108.97351825568	1021.96959365949	1167.10899869656	2.93829583832306	0.50910930941656	5.77144393939751	7.8595107632053e-09	7.38875828791718e-06
ENSMUSG00000008575	Nfib	chr4:82290172-82705750	370.661215558949	437.021933567684	1443.79328601372	1330.74958362651	895.556504691714	1.78196228219749	0.310403844025719	5.74078677340684	9.42376880766026e-09	7.38875828791718e-06
ENSMUSG00000024827	Gldc	chr19:30098448-30175418	674.155633667618	877.888634879365	173.605590927187	215.45469449191	485.27613849152	-1.99749733903444	0.347466048316862	-5.74875545023863	8.99027389868351e-09	7.38875828791718e-06
ENSMUSG00000040569	Slc26a7	chr4:14502429-14621805	4.97531832965032	3.84476774399722	175.198302770556	57.6082070833985	60.4066489819004	4.70621661033591	0.814673381942456	5.77681401485673	7.61283554098475e-09	7.38875828791718e-06
ENSMUSG00000071553	Cpa2	chr6:30541581-30564476	962.724096787336	2888.70216498991	225.368725836669	380.21416675043	1114.25228859109	-2.67023752016416	0.463933342328678	-5.75564909122744	8.63095081819266e-09	7.38875828791718e-06
ENSMUSG00000036111	Lmo1	chr7:109138571-109175207	659.229678678667	590.812643327572	149.714913276657	172.824621250195	393.145464133273	-1.95688281236559	0.344197053331831	-5.68535608722662	1.30540373067918e-08	9.69640150056591e-06
ENSMUSG00000006586	Runx1t1	chr4:13743435-13893649	117.749200468391	114.061443071917	484.184400384081	465.47431323386	295.367339289562	2.03396266657897	0.359575175974425	5.65657142784416	1.54426728029111e-08	1.08971220633742e-05
ENSMUSG00000074934	Grem1	chr2:113746163-113758646	261.204212306642	1195.72276838313	39.8177960842172	105.999101033453	400.685969451862	-3.328132717915	0.593688877729367	-5.60585323855794	2.07231508143176e-08	1.39269441639269e-05
ENSMUSG00000032394	Igdcc3	chr9:65141188-65185872	136.821254065384	511.35410995163	33.4469487107425	36.869252533375	179.622891315283	-3.20252763159565	0.57230766360668	-5.59581469067413	2.19588150138494e-08	1.40865798313844e-05
ENSMUSG00000025407	Gli1	chr10:127329881-127341974	1075.49797892608	1475.10922444693	390.214401625329	320.301631383696	815.280809095508	-1.84181542699199	0.332213640376665	-5.54406924683685	2.95521874767048e-08	1.81334792112493e-05
ENSMUSG00000028197	Col24a1	chr3:145292471-145552011	117.749200468391	93.5560151039323	1541.74506438089	283.432378850321	509.120664700884	3.10970386478675	0.565799379880613	5.49612455468389	3.88228350291833e-08	2.2829444615286e-05
ENSMUSG00000027356	Fermt1	chr2:132904388-132945906	84.5804116040554	69.2058193919499	2.38906776505303	1.15216414166797	39.3318657256816	-5.37762718671737	0.98625123126461	-5.45259363562159	4.96404183851522e-08	2.69452009488328e-05
ENSMUSG00000027570	Col9a3	chr2:180597789-180622189	367.344336672515	114.061443071917	1607.84260588069	1161.38145480131	812.657460106609	2.51765418744757	0.46147139479909	5.45571018230432	4.8777495653993e-08	2.69452009488328e-05
ENSMUSG00000025064	Col17a1	chr19:47646343-47692094	257.887333420208	111.498264575919	24.6870335722147	18.4346262666875	103.126814458757	-3.09403781572727	0.571689042886179	-5.41209920712662	6.22901605291607e-08	3.25592976128905e-05
ENSMUSG00000019647	Sema6a	chr18:47235597-47368868	1433.7208986609	1153.43032319917	4283.59850274009	3647.75167252079	2629.62534928024	1.61569497321841	0.299775388683129	5.38968519168946	7.0581213422133e-08	3.55754523223772e-05
ENSMUSG00000070720	Tmem200b	chr4:131921770-131923140	21.559712761818	19.2238387199861	575.765331377781	57.6082070833985	168.539272485746	3.95658718475895	0.736248803605683	5.37398113977513	7.70169171056473e-08	3.74806810728276e-05
ENSMUSG00000023800	Tiam2	chr17:3326572-3519397	218.914006504614	219.151761407841	1076.67320611723	631.385949634048	536.531230915934	1.96437861899634	0.36940141910068	5.31773436003221	1.05067309243167e-07	4.94271645116274e-05
ENSMUSG00000050199	Lgr4	chr2:109917646-110014257	431.194255236361	539.54907340761	1587.93370783858	1425.22704324328	995.976019931458	1.63588917283058	0.312718051134101	5.23119521529979	1.68417536658959e-07	7.4607645052947e-05
ENSMUSG00000051243	Islr2	chr9:58196296-58204319	10.779856380909	2.56317849599814	159.271184336869	66.8255202167423	59.8599348576296	4.00875868531164	0.766438072042083	5.23037520126158	1.69166346042252e-07	7.4607645052947e-05
ENSMUSG00000021193	Pitrm1	chr13:6548148-6580515	7512.73067777198	8816.05243698562	2307.04310511955	3159.23407645357	5448.76507408268	-1.57904160957538	0.304790479240373	-5.1807445347729	2.21001994055594e-07	8.66389206140721e-05
ENSMUSG00000022483	Col2a1	chr15:97975601-98004695	2248.01466528033	859.946385407378	10045.2335961263	5162.84751881417	4579.01054140705	2.28991869108599	0.44192650923988	5.18167306827708	2.19904412694181e-07	8.66389206140721e-05
ENSMUSG00000022510	Trp63	chr16:25683762-25892102	181.599119032237	121.750978559912	24.6870335722147	16.1302979833516	86.0418572869287	-2.88160728444325	0.554601373950649	-5.19581706752077	2.03822615248585e-07	8.66389206140721e-05
ENSMUSG00000038560	Sp6	chr11:97013393-97024734	174.965361259369	70.487408639949	7.1672032951591	13.8259697000156	66.6114857236233	-3.58281704719697	0.690303279089072	-5.1902071969365	2.10060202213354e-07	8.66389206140721e-05
