gene_id	gene_short_name	locus	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
ENSMUSG00000061527	Krt5	chr15:101707069-101712898	0.00967884470019361	0.00191419694206376	0.000265928441068472	0.0022635364995969	0.00577725791829178	0.00335773999499697	0.00674821108411502	0.0143213731483029	0.00724466295431256	0.00512929750610343	0.000174610062540105	0.00245617145900118	0.0119940413863874	0.00517987722921421	0.000419544004168638	0.363103041642295
ENSMUSG00000025219	Fgf8	chr19:45736797-45742915	0.00845364372318854	0.000651985293820866	0.0242436665066714	0.00342694241818058	0.001121879147158	0.000417498170175824	0.00494285456912892	0.001754162043547	2.40706705966032e-06	0.00278321418065926	0.00180443307857363	0.0017322922346543	3.36927725247308e-05	1.94483427520348e-07	0.00466083815114298	0.0198235422082464
ENSMUSG00000045545	Krt14	chr11:100203161-100207548	0.00685607957163863	0.00742511048851282	0.00665586749746178	0.00711317629035513	6.84210441082116e-05	0.00257655159794798	2.32322458756182e-08	0.0300210675567773	0.0119909848437216	0.00313545342534731	0.00297485701448993	0.0020823033710844	0.0149799475817748	0.00588979994997339	0.00793936407443552	0.15762516409666
ENSMUSG00000052217	Hbb-bh1	chr7:103841636-103843164	0.00603274128365445	0.00868119692374066	0.0105178875330646	0.00235917570386343	0.00397740975197451	0.015013725821411	0.00294822845327987	0.0424487393261674	0.0106659090856143	0.01543258305207	0.0253408081368489	6.86711157836713e-05	0.00243613532858769	0.00450512839110782	2.34343778363174e-05	0.00107299017384
ENSMUSG00000019851	Perp	chr10:18845019-18857073	0.00831349481099091	3.42968847221353e-06	0.000925342908524273	6.86072755719502e-06	0.00553795219713215	0.00358621012818483	0.000185872108281034	0.00640350431848353	0.00165930246156848	0.000226117967404284	0.000899034511977258	0.00102568987934851	0.00438429601918462	0.000168486912941102	0.00178912506747517	0.0317924548232864
ENSMUSG00000033227	Wnt6	chr1:74771891-74785322	0.00805357066744191	6.91545813871131e-05	0.00305832820475387	1.05938568934431e-05	0.00299643188242804	0.00695753620800193	0.00226555282817533	0.00432401957683311	0.000734540337732965	0.0012812689642259	0.000828403940383245	6.80939872442072e-07	0.000752921250778283	0.00276737247780548	0.00419808438424968	0.000610558878635347
ENSMUSG00000055609	Hba-x	chr11:32276399-32278116	0.00684304933302092	0.00241420213608433	0.00740493407872285	2.19530635045053e-06	0.00150754739828392	0.0186375448772515	0.00357564521117677	0.0369763787738414	0.0325025529406285	0.0111784585925077	0.0193348753407605	2.26444724858856e-05	0.00440007743279092	1.15846730739683e-05	0.00363533969614297	0.0165673009173874
ENSMUSG00000047281	Sfn	chr4:133600555-133602168	0.00750869271342755	0.000832043452771474	0.000219741096927601	0.00297092210978797	9.31227992084664e-05	0.00216260378885221	0.00211284257860668	0.0121302179377144	0.00023910616364212	0.00101778099172498	0.000397467636101822	4.55779708426088e-05	0.000951503918629302	0.00733964808116249	0.000236548908843708	0.00441705287092399
ENSMUSG00000026185	Igfbp5	chr1:72857931-72874884	0.00747959150338831	0.00138482616728129	2.22477742091136e-05	0.0001142614007472	0.000145959416916977	0.00665856154476075	0.000477548892720872	0.0079495040246102	3.06052723576098e-05	0.000600351473377477	0.00338653990081448	0.00423406479466813	0.0043812512647885	0.000865236845192502	5.88297678151476e-05	7.28840988133997e-05
ENSMUSG00000023906	Cldn6	chr17:23679364-23682446	0.00739511864613545	0.000648010541015579	0.0030863277291821	2.768804902769e-07	0.00413929979459093	0.00282590302990018	4.56899860968657e-05	0.00473359069338381	0.000420716491275212	3.13598913111388e-06	0.000512508326202288	0.000265235835038067	0.00137463255322033	0.0192627606730421	0.00866171352342881	0.000462227733527918
